borough,areaName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brooklyn,McGuire Fields,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Canarsie Park & Pier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Prospect Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Barren Island-Floyd Bennett Field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Jamaica Bay (West),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,Shirley Chisholm State Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Mott Haven-Port Morris,427,232,60,5,258,256,74,138,784,342,615,472,754,2317,559
Bronx,Melrose,144,645,416,9,26,63,201,2,156,183,197,533,181,60,175
Bronx,Hunts Point,4,1,1,9,-3,0,0,-5,42,0,227,114,275,13,30
Bronx,Longwood,154,243,16,100,2,0,107,83,36,400,302,165,143,118,194
Bronx,North & South Brother Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Morrisania,945,155,1,205,261,334,319,98,209,559,31,178,368,301,103
Bronx,Claremont Village-Claremont (East),130,391,0,143,6,0,0,-1,102,62,188,21,0,59,0
Bronx,Crotona Park East,282,237,129,40,9,84,339,515,149,251,525,91,174,226,342
Bronx,Crotona Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Concourse-Concourse Village,168,-11,79,217,30,3,124,160,433,53,203,95,290,2175,404
Bronx,Highbridge,41,6,103,-1,152,82,2,111,260,77,38,34,330,375,131
Bronx,Mount Eden-Claremont (West),243,37,34,50,101,0,3,238,-2,144,9,394,103,391,171
Bronx,Yankee Stadium-Macombs Dam Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,Claremont Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx,University Heights (South)-Morris Heights,127,123,151,-5,141,61,-1,59,-6,22,70,16,218,138,710
Bronx,Mount Hope,127,76,0,0,75,108,7,289,275,384,172,134,533,411,721
Bronx,Fordham Heights,43,1,1,-4,82,20,1,116,91,0,86,-2,58,391,121
Bronx,West Farms,0,40,0,-1,51,155,52,-40,567,157,395,-76,203,432,354
Bronx,Tremont,114,249,123,3,83,198,86,-9,259,241,66,385,148,211,136
Bronx,Belmont,110,86,22,8,61,58,41,75,126,195,123,40,118,383,450
Bronx,University Heights (North)-Fordham,149,0,41,46,66,-19,38,103,230,-2,180,80,57,209,371
Bronx,Bedford Park,211,60,88,6,75,207,41,77,273,102,284,437,183,512,990
Bronx,Norwood,118,-3,80,97,-5,-1,115,55,201,90,27,4,120,29,138
Bronx,Kingsbridge Heights-Van Cortlandt Village,4,9,80,0,-1,-1,76,8,-4,159,-3,38,11,131,381
Bronx,Kingsbridge-Marble Hill,0,-1,157,-1,0,5,2,107,85,8,-2,7,-1,36,38
Bronx,Riverdale-Spuyten Duyvil,23,18,14,71,2,-71,130,11,11,0,54,61,287,30,129
Bronx,Soundview-Bruckner-Bronx River,15,19,10,7,-5,14,105,11,3,441,74,612,57,318,81
Bronx,Soundview-Clason Point,160,16,5,55,-2,170,143,102,10,22,104,9,1,102,170
Bronx,Castle Hill-Unionport,9,22,31,0,31,135,2,27,8,91,127,19,5,0,19
Bronx,Parkchester,0,3,0,15,6,0,0,0,26,-5,20,-3,24,221,0
